0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
17,8,2,0,3,4,1,2,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
463,93,58,18,16,5,3,2,1,3,0,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
9,0,0,0,1,0,3,1,2,2,5,8,2,7,6,3,0,2,2,2,2,0,4,2,2,2,5,0,0,1,1,2,2,2,0,2,2,1,2,2,0,0,2,0,2,1,1,0,1,1,1,1,0,1,1,0,0,3,1,0,1,0,0,0,1,0,1,3,1,2,1,1,1,0,1,1,0,0,0,2,0,2,2,0,0,1,0,0,1,1,2,2,1,0,0,0,1,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
86,57,44,39,42,24,32,25,19,17,16,9,11,2,11,7,5,4,5,1,5,4,3,4,1,5,1,1,1,0,2,1,2,3,4,1,1,2,0,1,3,1,5,1,2,0,0,0,0,2,0,2,1,0,0,2,1,0,0,0,2,4,0,1,2,0,1,3,0,2,1,0,0,1,0,3,2,0,1,0,2,0,0,2,0,0,0,1,0,5,1,0,1,0,1,1,2,1,3,2
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
634,78,9,6,2,3,5,2,0,2,2,1,4,1,0,0,2,3,0,0,2,1,0,2,3,2,2,2,3,2,1,5,5,5,4,5,5,4,4,4,6,6,2,7,6,8,3,13,6,8,3,7,9,8,6,7,8,6,5,7,10,7,2,3,6,5,6,6,3,3,0,3,5,4,7,3,1,0,3,5,7,5,2,4,3,3,2,0,2,3,2,0,2,1,1,3,1,4,2,3
177,167,88,71,61,51,66,43,44,31,26,31,26,19,19,10,22,16,14,9,12,13,13,7,9,10,10,8,12,6,4,7,12,5,7,3,10,7,4,4,5,7,2,4,4,5,3,5,7,3,3,2,3,4,3,2,0,6,1,3,5,2,5,0,1,2,1,5,1,1,2,1,4,2,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4
13,6,8,10,8,5,8,8,7,3,3,6,13,4,3,4,1,1,1,5,2,3,3,2,3,2,2,1,2,1,3,1,0,3,0,2,2,0,2,2,2,0,0,0,4,1,1,2,3,2,4,2,1,0,0,3,0,0,2,0,1,1,1,2,0,2,0,2,3,2,2,1,1,1,0,2,1,1,1,0,1,2,1,1,0,0,3,0,1,1,3,0,1,0,1,2,1,0,0,1
