0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
201,4967,9498,29588,61315,68404,69661,69054,63063,55216,46696,37992,31782,26272,21568,17309,14353,11510,9484,7729,6207,5071,4078,3550,2899,2406,1998,1608,1389,1152,977,815,682,616,476,419,358,379,274,273,213,193,180,187,140,120,124,108,82,106,90,91,72,75,72,48,63,44,38,55,44,40,36,45,39,45,27,34,43,26,30,30,36,37,20,26,15,25,23,14,15,20,20,22,13,15,9,9,13,13,9,14,14,7,11,3,9,6,15,8
4,99,254,278,787,1862,3161,4466,5288,6516,6961,6982,6894,6435,5659,5116,4420,4104,3530,3057,2617,2250,1942,1635,1489,1222,1105,1036,882,711,667,609,501,452,415,402,337,316,280,273,244,198,191,181,163,149,147,136,94,111,105,83,95,80,77,72,75,79,63,65,56,56,58,40,39,53,49,42,34,45,19,24,29,30,27,21,28,21,26,27,18,22,20,11,10,17,13,20,17,14,21,4,8,12,7,8,11,7,7,7
4868,26,34,26,26,26,24,26,16,17,22,21,15,20,21,22,21,26,29,25,15,22,17,26,30,25,32,77,142,148,183,248,393,578,864,1140,1386,1714,2098,2585,3028,3576,4109,4553,4836,5397,5771,6066,6308,6394,6270,6083,6029,5841,5583,5352,4850,4489,4117,3748,3322,2992,2574,2260,1955,1771,1532,1267,1067,970,847,750,615,544,475,407,367,327,284,235,235,239,208,184,161,139,145,146,178,148,161,147,173,168,187,185,181,217,226,224
923,1243,2094,2180,1992,1954,1942,2211,2314,2753,3380,3949,4802,5464,6259,6858,7386,7557,7855,7987,7843,7262,6694,6379,5592,5345,4693,4163,3784,3454,2918,2491,2314,2018,1813,1577,1465,1258,1115,1012,933,868,714,726,654,587,504,452,419,395,353,355,332,302,292,234,210,215,212,176,179,166,147,144,139,127,127,129,111,86,101,104,103,94,85,77,71,72,86,76,49,61,47,49,50,52,56,46,45,50,42,36,49,39,38,28,31,22,31,39
183,344,590,558,559,633,561,586,527,554,541,519,516,496,486,452,468,434,453,442,448,458,375,422,393,423,415,428,379,404,378,340,334,332,369,337,359,328,340,303,319,299,289,307,315,280,302,279,306,319,271,259,265,239,277,270,278,237,223,265,207,228,230,222,216,222,201,202,227,222,195,195,214,196,201,209,172,173,179,197,163,164,162,176,144,181,159,168,156,166,162,144,140,143,146,136,157,147,152,149
1285,1063,1378,1560,2349,3204,3886,4690,5364,6143,6757,6996,7067,6786,6733,6136,5809,5356,4866,4555,4216,3885,3405,3351,2989,2833,2585,2367,2321,2102,1936,1722,1617,1599,1470,1322,1284,1218,1072,961,1000,919,873,830,752,743,690,619,584,549,512,486,457,396,373,404,366,367,322,313,311,262,270,222,235,224,198,206,205,164,173,151,146,150,109,138,111,104,105,111,89,99,96,65,76,69,83,60,63,47,62,46,42,45,42,46,43,37,30,40
12,85,122,168,143,160,102,114,102,86,63,62,42,39,29,31,20,27,19,20,13,14,13,14,9,5,15,17,12,9,9,8,8,9,10,17,17,15,11,12,15,18,24,20,29,30,29,17,35,35,36,36,42,45,38,44,43,53,61,39,49,51,42,38,43,65,46,38,50,54,52,46,46,50,57,48,41,32,38,52,38,32,39,35,41,41,32,33,41,28,28,26,28,21,22,18,23,23,20,27
76,2223,7597,9438,9922,9391,7601,6117,5348,4973,5029,4631,4573,4458,4405,4365,4199,4117,4027,4012,3958,3759,3637,3383,3026,2840,2658,2455,2202,2106,1917,1771,1604,1414,1368,1280,1190,1042,903,850,789,755,618,575,505,520,458,440,364,353,353,278,240,265,276,216,189,174,192,143,169,173,147,119,143,124,117,109,107,113,103,99,124,101,105,86,105,93,94,86,96,90,100,106,86,91,95,103,87,99,93,92,88,85,77,103,102,85,99,110
1381,1306,3022,2296,2090,2007,1682,1543,1666,1765,1971,1789,1866,1851,1769,1685,1705,1673,1692,1721,1713,1681,1620,1612,1539,1432,1433,1312,1279,1182,1184,1169,1191,1081,1100,1010,1057,1010,966,877,813,801,745,755,715,713,629,591,538,550,563,462,457,425,401,397,424,411,404,340,392,344,334,282,249,285,287,295,246,236,214,261,216,224,227,212,221,186,183,183,178,188,190,168,164,154,153,158,152,120,154,136,114,107,103,134,116,98,114,116
1545,898,2729,2922,2968,3169,3634,5182,7626,10296,12968,15004,14927,13723,11400,8807,6732,5136,3986,3268,3056,3107,3185,3112,3036,2905,2746,2622,2393,2060,1707,1608,1401,1224,1179,1164,1044,939,892,823,779,656,684,652,540,512,503,439,389,340,381,343,322,289,264,275,228,240,228,249,172,174,170,153,169,155,111,125,125,103,108,110,70,78,73,65,59,68,50,50,54,63,43,43,46,40,39,34,18,25,18,23,32,20,23,19,24,20,21,20
1076,2137,4694,4115,3484,3303,3919,6696,11523,16661,19880,20085,18237,15223,11304,7977,5589,4323,3638,3326,3274,3241,3294,3197,2939,2624,2289,2004,1729,1402,1239,1056,940,910,799,808,676,652,557,549,472,454,413,348,324,289,280,253,234,238,238,190,193,180,172,160,138,133,131,123,96,104,98,87,117,86,76,97,87,78,82,69,70,57,71,63,67,59,66,61,62,56,45,50,48,42,34,44,41,40,37,35,33,20,34,25,28,18,29,35
790,525,373,155,129,91,70,117,185,396,849,1522,2316,3136,4029,4813,5317,5415,5409,5384,5285,4933,4715,4301,3999,3662,3270,2803,2600,2325,1993,1784,1648,1351,1303,1153,1119,937,854,776,679,615,599,516,478,436,377,376,311,269,294,271,220,221,196,182,190,166,157,155,116,131,121,122,108,98,93,84,96,76,69,71,67,55,61,58,64,52,59,66,57,45,52,51,42,37,36,50,35,41,39,27,28,20,40,30,40,42,24,22
1232,3192,3699,3394,3875,5430,6508,7302,7760,8269,7870,6900,6359,5610,4963,4429,4436,4216,4030,3851,3705,3483,3310,3164,3007,2637,2523,2343,2266,2037,1986,1847,1799,1695,1502,1423,1341,1257,1116,1113,1054,986,887,850,793,781,703,640,680,603,555,530,491,456,420,439,382,345,355,329,305,281,270,297,251,234,231,200,202,186,178,158,161,143,136,135,123,133,103,112,88,99,83,92,80,66,81,68,59,50,58,58,53,48,46,43,28,26,36,36
1986,1700,2154,2007,2579,3304,3901,4332,4903,5662,5963,6527,6970,7226,7426,7080,6944,6402,5931,5573,5143,4632,4180,3640,3241,2986,2623,2517,2298,2083,1904,1741,1623,1432,1359,1323,1244,1125,952,928,852,805,711,738,628,602,562,538,494,445,419,383,372,316,325,327,300,266,244,239,242,198,218,188,191,162,130,145,134,108,129,131,100,100,97,99,88,78,89,77,69,65,66,65,55,62,63,59,43,38,50,50,42,40,39,35,37,29,35,34
83,688,4712,61795,44259,14316,9774,10560,11739,12380,12843,14177,16768,20307,22598,23284,22725,21235,19129,16806,14535,12097,10312,8398,6907,5728,4713,3763,3243,2539,2159,1766,1504,1279,1106,954,810,718,644,548,499,435,417,353,307,285,260,240,204,177,170,156,136,134,102,115,75,86,96,88,75,69,65,50,64,65,53,72,33,60,41,31,40,36,31,32,29,25,30,30,25,21,26,25,30,27,22,19,16,12,24,15,11,11,14,11,16,11,11,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
887,1265,1245,977,721,585,464,357,331,312,297,225,225,174,179,152,136,117,105,88,94,85,91,68,66,87,107,88,76,94,103,95,137,108,120,127,162,157,150,146,143,181,180,184,153,157,198,187,200,165,174,187,173,165,170,169,160,151,154,134,149,139,138,145,128,108,107,122,119,94,111,98,108,80,76,89,69,67,63,67,63,55,44,54,51,54,63,46,40,41,49,27,29,37,29,37,29,35,24,24
2,0,0,3,3,8,2,2,1,10,6,9,7,9,6,6,14,23,48,142,289,467,846,1241,1658,2188,2701,3108,3406,3575,3596,3825,3768,3546,3348,3135,2962,2915,2642,2290,2230,2038,1850,1824,1678,1595,1520,1461,1405,1342,1315,1222,1244,1159,1163,1089,1017,1002,932,901,807,785,796,809,684,640,600,549,508,473,453,466,424,384,373,341,287,287,302,258,269,253,230,204,180,170,169,146,161,132,139,120,135,115,106,70,92,95,83,77
9,12,16,13,15,19,13,12,17,18,14,13,27,11,16,12,24,23,26,65,134,145,191,360,729,1157,1658,2035,2746,3242,3664,3613,3830,3872,3647,3530,3223,2951,2779,2427,2189,2031,1881,1813,1752,1623,1560,1487,1395,1358,1261,1224,1127,1104,1057,1069,979,971,920,883,801,766,754,690,639,643,581,560,554,538,452,436,409,414,384,379,333,350,295,328,261,263,267,261,220,226,203,208,182,193,188,173,152,158,155,136,143,136,130,134
