0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1106,1177,450,214,111,68,59,33,43,32,36,32,33,45,36,43,37,47,65,54,50,57,51,52,47,51,50,41,33,40,40,34,28,28,29,28,25,24,15,20,19,14,18,9,16,11,10,8,12,6,11,3,5,10,3,6,5,1,3,1,2,1,1,3,2,2,2,5,2,2,0,2,2,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
19,23,16,22,27,34,38,40,38,31,43,35,31,37,48,41,38,35,25,34,35,25,32,22,14,18,26,21,13,14,17,14,8,11,9,16,11,10,10,6,10,5,4,6,3,3,3,5,6,4,4,3,5,3,4,2,0,0,0,2,1,3,1,2,1,3,2,1,1,0,1,1,0,3,2,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1
63,9,8,12,5,4,7,7,6,5,7,10,7,3,9,6,5,5,4,5,6,6,2,1,5,2,3,0,2,1,1,1,3,0,1,0,0,0,0,1,2,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
11,16,48,34,32,21,28,31,12,17,10,5,11,5,9,7,8,8,5,8,2,4,3,9,2,2,2,4,2,3,2,5,2,2,2,2,0,4,2,4,1,1,1,2,4,1,1,0,0,0,1,1,1,2,1,0,2,3,2,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,2,0,0,1,0,1,0,1,0,0,0,0,1
80,3,1,1,3,3,3,1,0,8,6,6,7,5,9,13,6,10,10,15,5,12,12,14,18,17,17,14,17,11,13,13,23,19,28,16,19,17,21,15,20,12,17,9,15,17,13,13,15,10,10,5,6,7,4,6,6,6,4,3,2,2,1,3,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,12,12,12,11,13,3,8,5,10,12,4,7,0,2,5,1,0,2,2,3,3,1,1,1,2,1,0,2,2,0,0,2,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
277,146,49,47,56,79,69,63,43,36,39,43,29,34,33,20,12,26,21,19,14,18,13,6,8,12,6,11,9,8,4,6,4,4,5,2,1,3,6,1,2,3,0,4,2,2,3,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
152,439,234,143,112,79,69,60,74,60,58,53,55,61,61,46,43,43,38,45,39,45,35,36,46,35,38,21,28,33,34,25,23,14,19,18,23,13,20,11,14,8,16,8,10,10,14,7,6,13,7,5,6,8,4,6,9,3,5,4,2,4,6,2,4,2,2,4,3,0,0,0,2,1,0,0,1,0,1,0,4,0,4,0,1,1,1,2,0,0,3,0,0,0,0,0,0,1,0,1
27,61,51,45,29,17,18,15,13,9,9,7,8,2,8,4,3,6,4,3,1,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
258,96,52,48,29,42,28,21,20,11,18,13,5,13,8,8,8,9,4,8,2,4,1,8,5,3,5,0,0,3,2,0,1,4,1,0,2,0,0,4,1,1,0,0,0,0,1,1,2,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
