x,y,filename,chip,label
787.5,1627.5,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Septum
2747.5,1050.0,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Retrosplenial Cortex
2695.0,1067.5,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Retrosplenial Cortex
2660.0,1032.5,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Retrosplenial Cortex
1015.0,1435.0,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Unknown
1645.0,490.0,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Unknown
752.5,1557.5,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Septum
2677.5,1120.0,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Retrosplenial Cortex
980.0,1487.5,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Septum
2695.0,1225.0,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Retrosplenial Cortex
2695.0,1137.5,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Retrosplenial Cortex
805.0,1557.5,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Septum
2677.5,1137.5,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Retrosplenial Cortex
1662.5,560.0,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Unknown
857.5,1452.5,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Septum
2712.5,1260.0,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Retrosplenial Cortex
857.5,1452.5,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Septum
2590.0,1750.0,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Unknown
2695.0,1067.5,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Retrosplenial Cortex
2590.0,1085.0,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Retrosplenial Cortex
980.0,1487.5,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Septum
980.0,1487.5,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Septum
980.0,1487.5,2024-01-31-T183000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Septum
2730.0,1207.5,2024-02-01-T120000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Retrosplenial Cortex
2625.0,1207.5,2024-02-01-T120000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Retrosplenial Cortex
892.5,1522.5,2024-02-01-T120000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Septum
2677.5,1120.0,2024-02-01-T120000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Retrosplenial Cortex
2677.5,1155.0,2024-02-01-T120000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Retrosplenial Cortex
752.5,1347.5,2024-02-01-T120000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Septum
735.0,1400.0,2024-02-01-T120000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Septum
857.5,1452.5,2024-02-01-T120000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Septum
787.5,770.0,2024-02-01-T120000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Unknown
787.5,1627.5,2024-02-01-T120000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Septum
2695.0,1155.0,2024-02-01-T120000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Retrosplenial Cortex
752.5,1767.5,2024-02-01-T120000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Septum
857.5,1452.5,2024-02-01-T120000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Septum
787.5,1662.5,2024-02-01-T120000-chip20380_params_params_low_ISI_acqm.zip,chip20380,Septum
